sp	long	lat	year	recordedByStandardized	recordNumberStandardized	source
Adiantum calcareum	-45.66402778	-20.26041667	2003	Melo, P.H.A.	963	mydataset
Adiantum calcareum	-45.66402778	-20.26041667	2003	Melo, P.H.A.	965	mydataset
Adiantum calcareum	-46.85402778	-13.70713889	2007	Melo, P.H.A.	1995	mydataset
Adiantum calcareum	-46.85402778	-13.70713889	2007	Melo, P.H.A.	2011	mydataset
Adiantum calcareum	-43.29127778	-13.05386111	2007	Melo, P.H.A.	2070	mydataset
Adiantum calcareum	-44.17397222	-14.44744444	2007	Melo, P.H.A.	2083	mydataset
Adiantum calcareum	-44.22605556	-15.17072222	2007	Melo, P.H.A.	2218	mydataset
Adiantum calcareum	-44.22605556	-15.17072222	2007	Melo, P.H.A.	2247	mydataset
Adiantum calcareum	-44.11861111	-19.42302778	2016	Melo, P.H.A.	4703	mydataset
Adiantum calcareum	-46.63694444	-11.78586111	2016	Melo, P.H.A.	4947	mydataset
Adiantum calcareum	-46.63694444	-11.78586111	2016	Melo, P.H.A.	4958	mydataset
Adiantum calcareum	-46.63694444	-11.78586111	2016	Melo, P.H.A.	4972	mydataset
Adiantum calcareum	-47.18494444	-15.35261111	2016	Melo, P.H.A.	5059	mydataset
Adiantum calcareum	-41.01152778	-12.45202778	2016	Melo, P.H.A.	4849A	mydataset
Adiantum calcareum	-44.03488889	-19.42675	2017	Melo, P.H.A.	5959	mydataset
Adiantum calcareum	-47.18791667	-15.34877778	2017	Melo, P.H.A.	6283	mydataset
Adiantum calcareum	-41.46158333	-11.734	2017	Melo, P.H.A.	6748	mydataset
Adiantum calcareum	-46.46944444	-12.72522222	2017	Melo, P.H.A.	6854	mydataset
Adiantum lorentzii	-45.60480556	-20.29591667	2005	Melo, P.H.A.	1398	mydataset
Adiantum lorentzii	-48.65888889	-24.44661111	2015	Casella, C.E.	42	mydataset
Adiantum calcareum	-46.4953	-12.765	2015	LABIAK	6030	gbif
Adiantum calcareum	-44.32	-13.586111	2007	QUEIROZ	12825	gbif
Adiantum calcareum	-44.251667	-13.692778	2002	FRANCA	3852	gbif
Adiantum calcareum	-40.419722	-13.258889	2001	FRANCA	3543	gbif
Adiantum calcareum	-43.176389	-13.042778	2000	QUEIROZ	5713	gbif
Adiantum calcareum	-44.254722	-15.140278	1997	SALINO	3031	gbif
Adiantum calcareum	-47.95	-15.52	1983	KIRKBRIDE	5327	gbif
Adiantum calcareum	-47.95	-15.516667	1983	KIRKBRIDE	5327	gbif
Adiantum calcareum	-44.46556	-15.57915	1973	ANDERSON	9247	gbif
Adiantum calcareum	-42	-11	1972	ANDERSON	37019	gbif
Adiantum calcareum	-44.254722	-15.140278	1997	SALINO	3031	splink
Adiantum calcareum	-44.46556	-15.57915	1973	ANDERSON	9247	splink
Adiantum calcareum	-44.32	-13.586111	2007	QUEIROZ	12825	splink
Adiantum calcareum	-43.176389	-13.042778	2000	QUEIROZ	5713	splink
Adiantum calcareum	-40.419722	-13.258889	2001	FRANCA	3543	splink
Adiantum calcareum	-44.251667	-13.692778	2002	FRANCA	3852	splink
Adiantum calcareum	-47.95	-15.516667	1983	KIRKBRIDE	5327	splink
Adiantum calcareum	-47.95	-15.52	1983	KIRKBRIDE	5327	splink
Adiantum lorentzii	-52	-30	2014	GONZATTI	1209	gbif
Adiantum lorentzii	-52.078611	-30.994564	2014	GONZATTI	1209	gbif
Adiantum lorentzii	-52.071944	-32.346389	2013	GONZATTI	704	gbif
Adiantum lorentzii	-52.072222	-31.346667	2013	GONZATTI	704	gbif
Adiantum lorentzii	-52.04197	-32.20476	2013	GONZATTI	704	gbif
Adiantum lorentzii	-68.915833	-17.543333	2012	TERAN	5255	gbif
Adiantum lorentzii	-68.888055	-17.526389	2012	TERAN	5229	gbif
Adiantum lorentzii	-68.893333	-17.563333	2012	TERAN	5240	gbif
Adiantum lorentzii	-45.324167	-22.576111	2011	GIACOMIN	1542	gbif
Adiantum lorentzii	-51.15786	-29.2611	2011	FIASCHI	3687	gbif
Adiantum lorentzii	-51.157778	-29.261111	2011	FIASCHI	3687	gbif
Adiantum lorentzii	-48.5	-22.833333	2011	JEFFERSON	2148	gbif
Adiantum lorentzii	-53.82175	-25.239833	2011	LOMBARDI	8737	gbif
Adiantum lorentzii	-52.406528	-14.847194	2010	FORSTHOFER	17	gbif
Adiantum lorentzii	-41.848917	-20.419556	2010	BUNGER	393	gbif
Adiantum lorentzii	-43.707028	-20.103472	2010	ALMEIDA	2406	gbif
Adiantum lorentzii	-64.104444	-18.573333	2010	PARADA	2673	gbif
Adiantum lorentzii	-65.333333	-24.5	2010	PRADO		gbif
Adiantum lorentzii	-48.643722	-28.126417	2010	SCHIP	29	gbif
Adiantum lorentzii	-63.763694	-19.528889	2009	PENARANDA	989	gbif
Adiantum lorentzii	-68.939444	-14.746222	2009	ALANES	38	gbif
Adiantum lorentzii	-63.824167	-18.398055	2009	LUZMILA	4747	gbif
Adiantum lorentzii	-52.516667	-28.483333	2009	WINDISCH	10458	gbif
Adiantum lorentzii	-53.016667	-28.416667	2009	WINDISCH	10581	gbif
Adiantum lorentzii	-52.583333	-30.083333	2009	WINDISCH	10723	gbif
Adiantum lorentzii	-51.583333	-28.25	2009	WINDISCH	10406	gbif
Adiantum lorentzii	-52.366667	-30.25	2009	WINDISCH	10664	gbif
Adiantum lorentzii	-43.782778	-20.430278	2009	SOUZA	1012	gbif
Adiantum lorentzii	-44.236944	-20.139167	2008	OLIVEIRA	40	gbif
Adiantum lorentzii	-64.4775	-19.638889	2008	VILLALOBOS	1403	gbif
Adiantum lorentzii	-46.918778	-23.230111	2008	LOMBARDI	7357	gbif
Adiantum lorentzii	-64.253611	-21.076389	2008	PORTAL	530	gbif
Adiantum lorentzii	-64.474722	-19.603889	2008	REINALDO	3161	gbif
Adiantum lorentzii	-43.603056	-19.974722	2008	REZENDE	2602	gbif
Adiantum lorentzii	-0.726667	-19.483333	2008	REZENDE	2602	gbif
Adiantum lorentzii	-43.603056	-19.974722	2008	REZENDE	2602	gbif
Adiantum lorentzii	-43.333167	-18.23025	2008	ALMEIDA	1461	gbif
Adiantum lorentzii	-41.602222	-20.631389	2008	SALINO	13949	gbif
Adiantum lorentzii	-45.842139	-22.648417	2008	ALMEIDA	1497	gbif
Adiantum lorentzii	-51.133333	-23.933333	2008	COTARELLI	596	gbif
Adiantum lorentzii	-65.767222	-24.2025	2007	TORRES	397	gbif
Adiantum lorentzii	-65.66	-26.96	2007	TORRES	419	gbif
Adiantum lorentzii	-65.45	-24.12	2007	TORRES	397	gbif
Adiantum lorentzii	-45.253242	-22.372028	2007	SALINO	12379	gbif
Adiantum lorentzii	-46.620061	-21.977889	2007	SALINO	12644	gbif
Adiantum lorentzii	-45.542517	-21.937556	2007	SALINO	12525	gbif
Adiantum lorentzii	-63.666389	-21.671944	2007	PENARANDA	968	gbif
Adiantum lorentzii	-44.774167	-22.296944	2007	ECHTERNACHT	1506	gbif
Adiantum lorentzii	-46.109567	-20.270556	2007	SALINO	13091	gbif
Adiantum lorentzii	-64.097222	-18.525	2006	MICHAEL	53885	gbif
Adiantum lorentzii	-63.679167	-18.229167	2006	MICHAEL	53842	gbif
Adiantum lorentzii	-64.0972	-18.525	2006	NEE	53885	gbif
Adiantum lorentzii	-64.25972	-21.07333	2006	REINALDO	1915	gbif
Adiantum lorentzii	-47.117669	-17.181333	2006	SALINO	10640	gbif
Adiantum lorentzii	-63.71944	-19.81444	2006	LLIULLY	613	gbif
Adiantum lorentzii	-43.683719	-20.412528	2006	ROLIM	344	gbif
Adiantum lorentzii	-44.226619	-19.852972	2006	SOUZA	24	gbif
Adiantum lorentzii	-63.566111	-20.016944	2006	LUZMILA	3223	gbif
Adiantum lorentzii	-41.8425	-20.419083	2006	SALINO	11371	gbif
Adiantum lorentzii	-64.40555	-22.17055	2005	HUAYLLA	1686	gbif
Adiantum lorentzii	-48.452778	-24.720278	2005	SALINO	10319	gbif
Adiantum lorentzii	-64.253056	-21.083611	2005	PORTAL	7	gbif
Adiantum lorentzii	-64.35	-20.78333	2005	REINALDO	1208	gbif
Adiantum lorentzii	-64.442778	-22.037778	2005	SERRANO	6219	gbif
Adiantum lorentzii	-64.44444	-22.04055	2005	HUAYLLA	1775	gbif
Adiantum lorentzii	-64.10361	-19.3125	2005	GUTIERREZ	1230	gbif
Adiantum lorentzii	-72.35	-12.45	2005	CALATAYUD	3045	gbif
Adiantum lorentzii	-46.434028	-20.336833	2005	MELO	1390	gbif
Adiantum lorentzii	-64.083889	-19.085278	2005	VILLALOBOS	133	gbif
Adiantum lorentzii	-64.58694	-21.89944	2005	SERRANO	6150	gbif
Adiantum lorentzii	-63.72722	-19.85361	2005	LLIULLY	440	gbif
Adiantum lorentzii	-64.1475	-19.05583	2005	VILLALOBOS	345	gbif
Adiantum lorentzii	-44.3696	-20.877917	2005	MOTA	459	gbif
Adiantum lorentzii	-64.04305	-20.33916	2005	SERRANO	6837	gbif
Adiantum lorentzii	-44.328317	-20.157694	2004	FIGUEIREDO	303	gbif
Adiantum lorentzii	-45.670444	-20.263722	2004	SALINO	9557	gbif
Adiantum lorentzii	-43.887694	-19.971083	2004	FIGUEIREDO	538	gbif
Adiantum lorentzii	-44.574075	-20.027833	2004	FIGUEIREDO	543	gbif
Adiantum lorentzii	-64.327222	-19.003333	2004	GUTIERREZ	652	gbif
Adiantum lorentzii	-45.046219	-20.772144	2004	ECHTERNACHT	500	gbif
Adiantum lorentzii	-43.477161	-18.135528	2004	SALINO	9640	gbif
Adiantum lorentzii	-64.0875	-19.315833	2004	GUTIERREZ	1019	gbif
Adiantum lorentzii	-45.095331	-22.08385	2004	SALINO	9759	gbif
Adiantum lorentzii	-64.11666	-18.5	2003	CALZADILLA	75	gbif
Adiantum lorentzii	-68.548944	-14.465167	2003	CANQUI	257	gbif
Adiantum lorentzii	-43.886278	-19.978306	2003	FIGUEIREDO	3	gbif
Adiantum lorentzii	-43.708719	-20.432083	2003	PACHECO	90	gbif
Adiantum lorentzii	-65.65	-26.98333	2002	CIALDELLA	124	gbif
Adiantum lorentzii	-63.91666	-18.05	2002	ARBELAEZ	968	gbif
Adiantum lorentzii	-43.817222	-18.78015	2002	MOTA	1493	gbif
Adiantum lorentzii	-64.85	-23.73333	2002	FERNANDO	7537	gbif
Adiantum lorentzii	-64.85	-23.7	2002	FERNANDO	7468	gbif
Adiantum lorentzii	-65.36666	-24	2002	FERNANDO	7856	gbif
Adiantum lorentzii	-46.154694	-22.748111	2001	SALINO	6901	gbif
Adiantum lorentzii	-63.9175	-19.54111	2001	HUAYLLA	148	gbif
Adiantum lorentzii	-63.89805	-19.44722	2001	HUAYLLA	267	gbif
Adiantum lorentzii	-63.92805	-19.49888	2001	HUAYLLA	364	gbif
Adiantum lorentzii	-63.9	-19.48333	2001	HUAYLLA	292	gbif
Adiantum lorentzii	-45.119833	-23.311667	2001	SALINO	7838	gbif
Adiantum lorentzii	-63.88333	-19.8	2000	HUAYLLA	15	gbif
Adiantum lorentzii	-64.55	-21.95	1999	ZAMBRANA	1537	gbif
Adiantum lorentzii	-65.46666	-23.93333	1998	MORRONE	2384	gbif
Adiantum lorentzii	-64.85	-23.7	1997	ZULOAGA	6222	gbif
Adiantum lorentzii	-64.85	-23.7	1997	FERNANDO	6222	gbif
Adiantum lorentzii	-68.68333	-15.21666	1997	KESSLER	10337	gbif
Adiantum lorentzii	-44.242778	-15.123056	1997	SALINO	3276	gbif
Adiantum lorentzii	-44.818519	-14.962778	1997	SALINO	3694	gbif
Adiantum lorentzii	-44.818519	-14.962778	1997	SALINO	3089	gbif
Adiantum lorentzii	-64.933333	-23.65	1995	DEGINANI	838	gbif
Adiantum lorentzii	-64.48	-19.83	1995	KESSLER	4766	gbif
Adiantum lorentzii	-63.75	-18.85	1995	KESSLER	5369	gbif
Adiantum lorentzii	-64.15	-19.57	1995	KESSLER	4991	gbif
Adiantum lorentzii	-65.91666	-18.05	1994	ROBBIN	5916	gbif
Adiantum lorentzii	-57.535833	-22.650556	1994	ZARDINI	41084	gbif
Adiantum lorentzii	-63.513337	-20.45	1994	JARDIM	1504	gbif
Adiantum lorentzii	-56.2	-25.66666	1993	SCHININI	27926	gbif
Adiantum lorentzii	-63.23333	-19.75	1990	VARGAS	445	gbif
Adiantum lorentzii	-64.0975	-18.53166	1989	VARGAS	263	gbif
Adiantum lorentzii	-63.666667	-17.733333	1985	SOLOMON	14157	gbif
Adiantum lorentzii	-64.48333	-22.36666	1983	SOLOMON	9899	gbif
Adiantum lorentzii	-65.16	-17.62	1979	CEBALLOS	358	gbif
Adiantum lorentzii	-64.66666	-24.75	1979	ALEJANDRO	8294	gbif
Adiantum lorentzii	-52.23	-14.63	1968	PHILCOX	4719	gbif
Adiantum lorentzii	-52.233333	-14.633333	1968	PHILCOX	4719	gbif
Adiantum lorentzii	-52.23	-14.63	1968	PHILCOX	4719	gbif
Adiantum lorentzii	-65.3333333	-24.5	2010	PRADO		jabot
Adiantum lorentzii	-64.1	-18.53	1989	VARGAS CABALLERO	263	mobot
Adiantum lorentzii	-63.23	-19.75	1990	VARGAS CABALLERO	445	mobot
Adiantum lorentzii	-63.67	-17.73	1983	SOLOMON	9899	mobot
Adiantum lorentzii	-68.01	-15.75	1985	SOLOMON	14157	mobot
Adiantum lorentzii	-63.51	-20.45	1994	ZARDINI	41084	mobot
Adiantum lorentzii	-68.55	-14.47	2002	ARBELÁEZ ÁLVAREZ	968	mobot
Adiantum lorentzii	-54.45	-25.68	2003	CANQUI MAGNE	257	mobot
Adiantum lorentzii	-65.65	-26.98	2003	CALZADILLA	75	mobot
Adiantum lorentzii	-53.88	-27.13	1993	BASUALDO	4954	mobot
Adiantum lorentzii	-65.47	-23.93	1999	BASUALDO	6672	mobot
Adiantum lorentzii	-64.55	-21.95	1993	SORIA REY	6254	mobot
Adiantum lorentzii	-65.37	-24	2002	CIALDELLA	124	mobot
Adiantum lorentzii	-55.53	-27.32	1998	MORRONE	2384	mobot
Adiantum lorentzii	-56.2	-25.67	1993	TRESSENS	4375	mobot
Adiantum lorentzii	-72.35	-12.45	1997	BIURRUN	4655	mobot
Adiantum lorentzii	-63.9	-19.48	1993	TRESSENS	4415	mobot
Adiantum lorentzii	-64.41	-22.17	1999	PANIAGUA ZAMBRANA	1537	mobot
Adiantum lorentzii	-64.44	-22.04	2002	ZULOAGA	7537	mobot
Adiantum lorentzii	-63.93	-19.5	2002	ZULOAGA	7856	mobot
Adiantum lorentzii	-63.88	-19.8	2002	ZULOAGA	7468	mobot
Adiantum lorentzii	-63.92	-19.54	1970	HATSCHBACH	24525	mobot
Adiantum lorentzii	-63.9	-19.45	1993	SCHININI	27926	mobot
Adiantum lorentzii	-64.67	-24.75	2005	CALATAYUD HERMOSA	3045	mobot
Adiantum lorentzii	-64.09	-19.32	2001	HUAYLLA	216	mobot
Adiantum lorentzii	-64.1	-19.31	2001	HUAYLLA	292	mobot
Adiantum lorentzii	-64.33	-19	2005	HUAYLLA	1686	mobot
Adiantum lorentzii	-64.85	-23.7	2005	SERRANO	6150	mobot
Adiantum lorentzii	-63.72	-19.81	2005	HUAYLLA	1775	mobot
Adiantum lorentzii	-64.44	-22.04	2001	HUAYLLA	364	mobot
Adiantum lorentzii	-64.1	-18.53	2000	HUAYLLA	15	mobot
Adiantum lorentzii	-68.94	-14.75	1994	MORAN	5916	mobot
Adiantum lorentzii	-68.89	-17.53	2001	HUAYLLA	148	mobot
Adiantum lorentzii	-68.89	-17.56	1979	ITAIPÚ BINACIONAL	412	mobot
Adiantum lorentzii	-68.92	-17.54	1983	NOVARA	3642	mobot
Adiantum lorentzii	-64.47	-19.6	2001	HUAYLLA	267	mobot
Adiantum lorentzii	-48.5	-22.83	1988	PALACI	1098	mobot
Adiantum lorentzii	-63.76	-19.53	1973	CABRERA	23828	mobot
Adiantum lorentzii	-64.25	-21.08	2005	LOZANO	1208	mobot
Adiantum lorentzii	-64.25	-21.08	1982	SCHININI	22458	mobot
Adiantum lorentzii	-54.81	-27.11	1979	BROWN	441	mobot
Adiantum lorentzii	-43.477161	-18.135528	2004	SALINO	9640	splink
Adiantum lorentzii	-44.226619	-19.852972	2006	SOUZA	24	splink
Adiantum lorentzii	-41.8425	-20.419083	2006	SALINO	11371	splink
Adiantum lorentzii	-43.708719	-20.432083	2003	PACHECO	90	splink
Adiantum lorentzii	-43.683719	-20.412528	2006	ROLIM	344	splink
Adiantum lorentzii	-45.253242	-22.372028	2007	SALINO	12379	splink
Adiantum lorentzii	-45.542517	-21.937556	2007	SALINO	12525	splink
Adiantum lorentzii	-46.620061	-21.977889	2007	SALINO	12644	splink
Adiantum lorentzii	-46.109567	-20.270556	2007	SALINO	13091	splink
Adiantum lorentzii	-44.774167	-22.296944	2007	ECHTERNACHT	1506	splink
Adiantum lorentzii	-43.333167	-18.23025	2008	ALMEIDA	1461	splink
Adiantum lorentzii	-43.603056	-19.974722	2008	REZENDE	2602	splink
Adiantum lorentzii	-41.602222	-20.631389	2008	SALINO	13949	splink
Adiantum lorentzii	-45.842139	-22.648417	2008	ALMEIDA	1497	splink
Adiantum lorentzii	-41.848917	-20.419556	2010	BUNGER	393	splink
Adiantum lorentzii	-43.707028	-20.103472	2010	ALMEIDA	2406	splink
Adiantum lorentzii	-43.782778	-20.430278	2009	SOUZA	1012	splink
Adiantum lorentzii	-44.236944	-20.139167	2008	OLIVEIRA	40	splink
Adiantum lorentzii	-45.324167	-22.576111	2011	GIACOMIN	1542	splink
Adiantum lorentzii	-44.818519	-14.962778	1997	SALINO	3089	splink
Adiantum lorentzii	-44.242778	-15.123056	1997	SALINO	3276	splink
Adiantum lorentzii	-44.818519	-14.962778	1997	SALINO	3694	splink
Adiantum lorentzii	-46.154694	-22.748111	2001	SALINO	6901	splink
Adiantum lorentzii	-45.119833	-23.311667	2001	SALINO	7838	splink
Adiantum lorentzii	-43.817222	-18.78015	2002	MOTA	1493	splink
Adiantum lorentzii	-43.886278	-19.978306	2003	FIGUEIREDO	3	splink
Adiantum lorentzii	-45.670444	-20.263722	2004	SALINO	9557	splink
Adiantum lorentzii	-44.328317	-20.157694	2004	FIGUEIREDO	303	splink
Adiantum lorentzii	-43.887694	-19.971083	2004	FIGUEIREDO	538	splink
Adiantum lorentzii	-44.574075	-20.027833	2004	FIGUEIREDO	543	splink
Adiantum lorentzii	-45.095331	-22.08385	2004	SALINO	9759	splink
Adiantum lorentzii	-48.452778	-24.720278	2005	SALINO	10319	splink
Adiantum lorentzii	-45.046219	-20.772144	2004	ECHTERNACHT	500	splink
Adiantum lorentzii	-46.434028	-20.336833	2005	MELO	1390	splink
Adiantum lorentzii	-44.3696	-20.877917	2005	MOTA	459	splink
Adiantum lorentzii	-47.117669	-17.181333	2006	SALINO	10640	splink
Adiantum lorentzii	65.4602	24.1209	2007	TORRES	397	splink
Adiantum lorentzii	65.439	24.1201	2007	TORRES	401	splink
Adiantum lorentzii	-43.603056	-19.974722	2008	REZENDE	2602	splink
Adiantum lorentzii	-48.5	-22.8333333	2011	JEFFERSON	2148	splink
Adiantum lorentzii	-52.23	-14.63	1968	PHILCOX	4719	splink
Adiantum lorentzii	-48.643722	-28.126417	2010	SCHIP	29	splink
Adiantum lorentzii	-52.0722223	-31.3466666	2013	GONZATTI	704	splink
Adiantum lorentzii	-53.82175	-25.239833	2011	LOMBARDI	8737	splink
Adiantum lorentzii	-46.918778	-23.230111	2008	LOMBARDI	7357	splink
Adiantum lorentzii	-51.157778	-29.261111	2011	FIASCHI	3687	splink
Adiantum lorentzii	-0.726667	-19.483333	2008	REZENDE	2602	splink
Adiantum lorentzii	-52.078611	-30.994564	2014	GONZATTI	1209	splink
Adiantum lorentzii	-51.133333	-23.933333	2008	COTARELLI	596	splink
Adiantum lorentzii	-53.82175	-25.239833	2011	LOMBARDI	8737	splink
Adiantum lorentzii	-52.04197	-32.20476	2013	GONZATTI	704	splink
Adiantum lorentzii	-51.583333	-28.25	2009	WINDISCH	10406	splink
Adiantum lorentzii	-52.516667	-28.483333	2009	WINDISCH	10458	splink
Adiantum lorentzii	-53.016667	-28.416667	2009	WINDISCH	10581	splink
Adiantum lorentzii	-52.366667	-30.25	2009	WINDISCH	10664	splink
Adiantum lorentzii	-52.583333	-30.083333	2009	WINDISCH	10723	splink
Adiantum lorentzii	-52.071944	-32.346389	2013	GONZATTI	704	splink
Adiantum lorentzii	-52.071944	-32.346389	2013	GONZATTI	704	splink
Adiantum lorentzii	-65.767222	-24.2025	2007	TORRES	397	splink
Adiantum lorentzii	-52.233333	-14.633333	1968	PHILCOX	4719	splink
Adiantum lorentzii	-52.23	-14.63	1968	PHILCOX	4719	splink
Adiantum lorentzii	-65.3333333	-24.5	2010	PRADO		jabotrb
Adiantum lorentzii	-64.85	-23.7	1997	ZULOAGA	6222	bien
Adiantum lorentzii	-64.85	-23.7	2002	FERNANDO	7468	bien
Adiantum lorentzii	-65.46666	-23.93333	1998	MORRONE	2384	bien
Adiantum lorentzii	-64.66666	-24.75	1979	BROWN	8294	bien
Adiantum lorentzii	-54.11666	-25.96666	2000	MULGURA	2760	bien
Adiantum lorentzii	-64.85	-23.7	1997	FERNANDO	6222	bien
Adiantum lorentzii	-64.85	-23.73333	2002	FERNANDO	7537	bien
Adiantum lorentzii	-64.93333	-23.65	1995	DEGINANI	838	bien
Adiantum lorentzii	-63.9	-19.48333	2001	HUAYLLA	292	bien
Adiantum lorentzii	-64.25972	-21.07333	2006	LOZANO	1915	bien
Adiantum lorentzii	-63.6666667	-17.7333333	1985	SOLOMON	14157	bien
Adiantum lorentzii	-64.0972222	-18.525	2006	NEE	53885	bien
Adiantum lorentzii	-64.48333	-22.36666	1983	SOLOMON	9899	bien
Adiantum lorentzii	-64.1475	-19.05583	2005	VILLALOBOS	345	bien
Adiantum lorentzii	-64.2536111	-21.0763889	2008	PORTAL	530	bien
Adiantum lorentzii	-63.513337	-20.45	1994	JARDIM	1504	bien
Adiantum lorentzii	-64.0875	-19.3158333	2004	GUTIERREZ	1019	bien
Adiantum lorentzii	-64.35	-20.78333	2005	LOZANO	1208	bien
Adiantum lorentzii	-63.89805	-19.44722	2001	HUAYLLA	267	bien
Adiantum lorentzii	-68.9158333	-17.5433333	2012	TERAN	5255	bien
Adiantum lorentzii	-68.8880555	-17.5263889	2012	TERAN	5229	bien
Adiantum lorentzii	-64.04305	-20.33916	2005	SERRANO	6837	bien
Adiantum lorentzii	-68.8933333	-17.5633333	2012	TERAN	5240	bien
Adiantum lorentzii	-64.0975	-18.53166	1989	VARGAS	263	bien
Adiantum lorentzii	-64.44444	-22.04055	2005	HUAYLLA	1775	bien
Adiantum lorentzii	-63.6663889	-21.6719445	2007	PENARANDA	968	bien
Adiantum lorentzii	-64.4427777	-22.0377777	2005	SERRANO	6219	bien
Adiantum lorentzii	-63.92805	-19.49888	2001	HUAYLLA	364	bien
Adiantum lorentzii	-63.71944	-19.81444	2006	LLIULLY	613	bien
Adiantum lorentzii	-63.5661111	-20.0169445	2006	LUZMILA	3223	bien
Adiantum lorentzii	-63.72722	-19.85361	2005	LLIULLY	440	bien
Adiantum lorentzii	-68.68333	-15.21666	1997	KESSLER	10337	bien
Adiantum lorentzii	-64.10361	-19.3125	2005	GUTIERREZ	1230	bien
Adiantum lorentzii	-63.91666	-18.05	2002	ARBELAEZ	968	bien
Adiantum lorentzii	-68.54888	-14.465	2003	CANQUI	257	bien
Adiantum lorentzii	-63.7636944	-19.5288889	2009	PENARANDA	989	bien
Adiantum lorentzii	-63.9175	-19.54111	2001	HUAYLLA	148	bien
Adiantum lorentzii	-64.3272223	-19.0033333	2004	GUTIERREZ	652	bien
Adiantum lorentzii	-64.0838889	-19.0852777	2005	VILLALOBOS	133	bien
Adiantum lorentzii	-63.6791667	-18.2291667	2006	NEE	53842	bien
Adiantum lorentzii	-64.40555	-22.17055	2005	HUAYLLA	1686	bien
Adiantum lorentzii	-63.23333	-19.75	1990	VARGAS	445	bien
Adiantum lorentzii	-64.11666	-18.5	2003	CALZADILLA	75	bien
Adiantum lorentzii	-64.55	-21.95	1999	ZAMBRANA	1537	bien
Adiantum lorentzii	-64.58694	-21.89944	2005	SERRANO	6150	bien
Adiantum lorentzii	-64.2530556	-21.0836111	2005	PORTAL	7	bien
Adiantum lorentzii	-63.88333	-19.8	2000	HUAYLLA	15	bien
Adiantum lorentzii	-48.5	-22.8333333	2011	JEFFERSON	2148	bien
Adiantum lorentzii	-57.15	-22.6505556	1994	ZARDINI	41084	bien
Adiantum lorentzii	-56.2	-25.66666	1993	SCHININI	27926	bien
Adiantum lorentzii	-72.35	-12.45	2005	CALATAYUD	3045	bien
Aralia warmingiana	-53.866389	-25.296944	2017	CAXAMBU	7742	gbif
Aralia warmingiana	-53.866389	-25.296833	2017	CAXAMBU	7742	gbif
Aralia warmingiana	-36.949486	-8.249411	2014	OLIVEIRA	3264	gbif
Aralia warmingiana	-39.006472	-7.710333	2013	OLIVEIRA	1029	gbif
Aralia warmingiana	-39.006444	-7.710333	2013	OLIVEIRA	1059	gbif
Aralia warmingiana	-44.0825	-18.644444	2012	OLIVEIRA		gbif
Aralia warmingiana	-44.0825	-18.644444	2012	OLIVEIRA		gbif
Aralia warmingiana	-40.522778	-13.316111	2011	MELO	10559	gbif
Aralia warmingiana	-53.9975	-27.474722	2008	MOLZ		gbif
Aralia warmingiana	-40.5	-12.419444	2008	QUEIROZ	13685	gbif
Aralia warmingiana	-37.112972	-7.846833	2008	ANTUNES	65	gbif
Aralia warmingiana	-42.178611	-12.433333	2007	QUEIROZ	12666	gbif
Aralia warmingiana	-42.245556	-13.297222	2007	CONCEICAO	1888	gbif
Aralia warmingiana	-44.32	-13.586111	2007	QUEIROZ	12740	gbif
Aralia warmingiana	-39.183889	-12.161667	2007	CARDOSO	1962	gbif
Aralia warmingiana	-39.1839	-12.1617	2007	CARDOSO	1962	gbif
Aralia warmingiana	-44.968889	-12.376944	2007	SANTOS	1771	gbif
Aralia warmingiana	-41.501667	-12.327222	2007	SANTOS	1822	gbif
Aralia warmingiana	-42.826944	-15.305833	2004	PIRANI	5468	gbif
Aralia warmingiana	-49.516667	-19.916667	2001	TOMASETTO	198	gbif
Aralia warmingiana	-54.205	-26.91638	1999	TRESSENS	6110	gbif
Aralia warmingiana	-60.75	-17.83333	1997	FABIANA	1164	gbif
Aralia warmingiana	-44.183333	-18.283333	1996	PIRANI	3734	gbif
Aralia warmingiana	-55	-25.5	1985	ORTEGA		gbif
Aralia warmingiana	-40.304167	-20.276667	1985	VINHA		gbif
Aralia warmingiana	-47	-16	1985	RATTER	5047	gbif
Aralia warmingiana	-47	-16	1985	RATTER	5047	gbif
Aralia warmingiana	-47	-16	1985	RATTER	5047	gbif
Aralia warmingiana	-47	-16	1985	RATTER	5047	gbif
Aralia warmingiana	-55	-24.33333	1978	BERNARDI		gbif
Aralia warmingiana	-60.75	-17.83	1997	MAMANI M.	1164	mobot
Aralia warmingiana	-54.21	-26.92	1999	TRESSENS	6110	mobot
Aralia warmingiana	-47	-16	1985	RATTER	5047	splink
Aralia warmingiana	-47	-16	1985	RATTER	5047	splink
Aralia warmingiana	-39.1839	-12.1617	2007	CARDOSO	1962	splink
Aralia warmingiana	-39.006472	-7.710333	2013	OLIVEIRA	1029	splink
Aralia warmingiana	-39.006444	-7.710333	2013	OLIVEIRA	1059	splink
Aralia warmingiana	-47	-16	1985	RATTER	5047	splink
Aralia warmingiana	-40.304167	-20.276667	1985	VINHA		splink
Aralia warmingiana	-49.516667	-19.916667	2001	TOMASETTO	198	splink
Aralia warmingiana	-53.8663889	-25.2969444	2017	CAXAMBU	7742	splink
Aralia warmingiana	-44.0825	-18.644444	2012	OLIVEIRA		splink
